7407;730;5.0;2021-11-03 15:38:27 
7387;732;78.0;2021-11-03 11:03:45 
7376;732;20.0;2021-11-03 08:35:26 
7373;732;45.0;2021-11-03 03:17:44 
7360;732;32.5;2021-11-02 18:58:26 
7353;671;600.0;2021-11-02 13:36:28 
7340;732;36.0;2021-11-02 11:49:51 
7338;732;20.0;2021-11-02 11:16:43 
7327;732;26.0;2021-11-02 10:58:34 
7322;732;16.5;2021-11-01 23:29:50 
7299;732;39.0;2021-11-01 17:18:01 
7296;732;16.5;2021-11-01 16:30:12 
7284;732;30.0;2021-11-01 13:42:41 
7276;732;20.0;2021-11-01 09:24:48 
7271;732;30.0;2021-10-31 20:03:51 
7269;730;400.0;2021-10-31 19:47:40 
7267;730;2.0;2021-10-31 18:35:04 
7263;671;50.0;2021-10-31 17:54:47 
7243;732;35.0;2021-10-31 14:50:39 
7222;671;500.0;2021-10-30 20:24:18 
7212;732;100.30000000000011;2021-10-30 17:14:04 
7177;730;2.0;2021-10-29 20:42:13 
7170;732;2.0;2021-10-29 19:16:57 
7169;732;5.0;2021-10-29 19:16:54 
7168;732;2.0;2021-10-29 19:16:50 
7167;732;5.0;2021-10-29 19:16:46 
7156;732;44.88;2021-10-29 17:56:12 
7179;732;50.0;2021-10-29 11:27:21 
7149;732;33.0;2021-10-28 21:17:07 
7140;732;28.018732728729606;2021-10-28 17:15:59 
7130;827;20.0;2021-10-28 11:59:06 
7124;732;80.0;2021-10-28 07:46:22 
7120;737;12.25;2021-10-27 21:27:52 
7111;730;2.0;2021-10-27 20:07:13 
7099;732;50.0;2021-10-27 18:37:27 
7093;732;5.0;2021-10-27 16:48:31 
7092;732;5.0;2021-10-27 16:48:22 
7091;732;29.834999999999997;2021-10-27 16:46:15 
7081;732;22.4;2021-10-27 14:17:28 
7074;732;13.26;2021-10-27 12:20:49 
7071;732;40.0;2021-10-27 10:30:05 
7057;732;76.366993342464;2021-10-27 01:42:56 
7038;732;16.0;2021-10-26 17:52:48 
7032;732;30.0;2021-10-26 14:21:53 
7023;732;20.0;2021-10-26 10:42:22 
7021;732;9.520000000000001;2021-10-25 23:39:05 
7006;732;50.0;2021-10-25 22:18:02 
6992;732;25.391999999999996;2021-10-25 15:37:38 
6970;737;6.0;2021-10-24 20:15:41 
6969;730;2.0;2021-10-24 19:42:05 
6964;730;3.0;2021-10-24 18:50:27 
6961;732;6.65;2021-10-24 18:24:05 
6960;737;6.4;2021-10-24 18:24:04 
6948;732;30.9375;2021-10-24 15:18:13 
6947;732;104.434407;2021-10-24 14:52:06 
6941;732;26.25;2021-10-24 14:25:13 
6929;732;28.125;2021-10-24 10:14:25 
6928;732;20.0;2021-10-24 10:04:17 
6913;732;60.0;2021-10-24 04:47:16 
6905;732;13.148;2021-10-23 22:17:15 
6892;732;101.90000000000005;2021-10-23 17:32:26 
6886;730;2.0;2021-10-23 14:22:40 
6875;732;9.530399999999998;2021-10-23 13:14:46 
6874;732;10.064000000000002;2021-10-23 13:14:46 
6870;732;60.0;2021-10-23 12:40:48 
6866;671;1000.0;2021-10-23 11:03:59 
6861;732;20.0;2021-10-23 10:35:06 
6833;732;100.0;2021-10-22 10:51:12 
6817;732;100.0;2021-10-21 16:31:28 
6805;732;100.0;2021-10-21 12:30:59 
6802;732;20.0;2021-10-21 00:58:01 
6799;732;40.0;2021-10-20 23:44:41 
6795;730;50.0;2021-10-20 20:18:59 
6788;730;400.0;2021-10-20 19:34:09 
6778;730;2.0;2021-10-20 18:28:46 
6774;730;2.0;2021-10-20 18:25:34 
6772;671;400.0;2021-10-20 18:16:47 
6769;732;20.0;2021-10-20 17:43:29 
6756;211;26.0;2021-10-20 13:19:46 
6710;732;74.1132;2021-10-20 00:02:53 
6707;730;2.0;2021-10-19 21:14:11 
6697;730;2.0;2021-10-19 17:38:26 
6694;730;10.0;2021-10-19 16:28:22 
6693;730;2.0;2021-10-19 16:27:03 
6689;732;20.0;2021-10-19 15:39:59 
6685;732;30.0;2021-10-19 13:22:56 
6676;730;10.0;2021-10-18 19:43:48 
6663;730;2.0;2021-10-18 17:59:58 
6662;732;60.0;2021-10-18 17:46:24 
6656;732;20.0;2021-10-18 11:55:26 
6653;732;50.0;2021-10-17 19:04:06 
6621;732;23.104;2021-10-17 12:36:54 
6620;730;2.0;2021-10-17 12:25:02 
6604;730;2.0;2021-10-16 18:49:50 
6608;732;20.0;2021-10-16 18:27:13 
6601;730;20.0;2021-10-16 18:11:35 
6591;730;2.0;2021-10-16 17:17:20 
6609;732;20.0;2021-10-16 16:48:23 
6584;671;500.0;2021-10-16 12:26:12 
6579;732;20.0;2021-10-16 08:16:57 
6575;732;70.0;2021-10-15 23:48:02 
